loss,grad_norm,learning_rate,epoch,global_step,timestamp,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.0199,0.5041560530662537,8.667743964205023e-05,0.7822222222222223,880,2025-12-12 10:03:17,880,,,,,,,,,
1.0264,0.5336358547210693,8.601877806514263e-05,0.8,900,2025-12-12 10:04:28,900,,,,,,,,,
1.0422,0.5370259284973145,8.534685925850047e-05,0.8177777777777778,920,2025-12-12 10:05:40,920,,,,,,,,,
0.9943,0.534831166267395,8.466193053151245e-05,0.8355555555555556,940,2025-12-12 10:06:52,940,,,,,,,,,
1.0193,0.5238175392150879,8.39642439820556e-05,0.8533333333333334,960,2025-12-12 10:08:03,960,,,,,,,,,
1.0036,0.5461950898170471,8.325405640370723e-05,0.8711111111111111,980,2025-12-12 10:09:15,980,,,,,,,,,
1.0217,0.5065151453018188,8.253162919122825e-05,0.8888888888888888,1000,2025-12-12 10:10:27,1000,,,,,,,,,
,,,0.8888888888888888,1000,2025-12-12 10:12:45,1000,1.008398175239563,137.6417,7.265,0.908,,,,,
1.0557,0.553157389163971,8.17972282443531e-05,0.9066666666666666,1020,2025-12-12 10:14:00,1020,,,,,,,,,
1.003,0.5358933210372925,8.105112386992152e-05,0.9244444444444444,1040,2025-12-12 10:15:12,1040,,,,,,,,,
1.0044,0.5114260315895081,8.029359068238821e-05,0.9422222222222222,1060,2025-12-12 10:16:23,1060,,,,,,,,,
1.0357,0.5198405981063843,7.952490750274708e-05,0.96,1080,2025-12-12 10:17:35,1080,,,,,,,,,
1.0093,0.5410433411598206,7.874535725590709e-05,0.9777777777777777,1100,2025-12-12 10:18:46,1100,,,,,,,,,
0.9967,0.5378384590148926,7.795522686655772e-05,0.9955555555555555,1120,2025-12-12 10:19:58,1120,,,,,,,,,
0.9434,0.5814608931541443,7.715480715356222e-05,1.0133333333333334,1140,2025-12-12 10:21:10,1140,,,,,,,,,
0.9132,0.609713613986969,7.634439272291749e-05,1.031111111111111,1160,2025-12-12 10:22:22,1160,,,,,,,,,
0.9164,0.6055335402488708,7.55242818593201e-05,1.048888888888889,1180,2025-12-12 10:23:34,1180,,,,,,,,,
0.8917,0.5894801020622253,7.469477641637841e-05,1.0666666666666667,1200,2025-12-12 10:24:45,1200,,,,,,,,,
0.9038,0.5868597030639648,7.385618170551091e-05,1.0844444444444445,1220,2025-12-12 10:25:57,1220,,,,,,,,,
0.898,0.6306549906730652,7.300880638357198e-05,1.1022222222222222,1240,2025-12-12 10:27:09,1240,,,,,,,,,
0.8956,0.6340724229812622,7.215296233924626e-05,1.12,1260,2025-12-12 10:28:21,1260,,,,,,,,,
0.8921,0.6571366190910339,7.128896457825364e-05,1.1377777777777778,1280,2025-12-12 10:29:33,1280,,,,,,,,,
0.8731,0.6405050754547119,7.041713110740674e-05,1.1555555555555554,1300,2025-12-12 10:30:44,1300,,,,,,,,,
0.9097,0.6441605091094971,6.953778281756398e-05,1.1733333333333333,1320,2025-12-12 10:31:56,1320,,,,,,,,,
0.8953,0.6047837734222412,6.865124336552114e-05,1.1911111111111112,1340,2025-12-12 10:33:07,1340,,,,,,,,,
0.8871,0.6339151859283447,6.77578390548847e-05,1.208888888888889,1360,2025-12-12 10:34:19,1360,,,,,,,,,
0.8896,0.615228533744812,6.685789871597119e-05,1.2266666666666666,1380,2025-12-12 10:35:30,1380,,,,,,,,,
0.895,0.6427189111709595,6.595175358477641e-05,1.2444444444444445,1400,2025-12-12 10:36:42,1400,,,,,,,,,
0.8669,0.6572215557098389,6.503973718105929e-05,1.2622222222222224,1420,2025-12-12 10:37:53,1420,,,,,,,,,
0.9019,0.616717517375946,6.412218518558515e-05,1.28,1440,2025-12-12 10:39:05,1440,,,,,,,,,
0.8884,0.629772424697876,6.319943531657347e-05,1.2977777777777777,1460,2025-12-12 10:40:16,1460,,,,,,,,,
0.8804,0.6167166829109192,6.227182720539594e-05,1.3155555555555556,1480,2025-12-12 10:41:28,1480,,,,,,,,,
0.8835,0.6435496211051941,6.133970227157025e-05,1.3333333333333333,1500,2025-12-12 10:42:39,1500,,,,,,,,,
,,,1.3333333333333333,1500,2025-12-12 10:44:57,1500,1.003353238105774,137.254,7.286,0.911,,,,,
0.9016,0.6647153496742249,6.040340359709562e-05,1.3511111111111112,1520,2025-12-12 10:46:12,1520,,,,,,,,,
0.8885,0.6266716718673706,5.946327580017663e-05,1.3688888888888888,1540,2025-12-12 10:47:23,1540,,,,,,,,,
0.8872,0.6689999103546143,5.851966490838148e-05,1.3866666666666667,1560,2025-12-12 10:48:35,1560,,,,,,,,,
0.8888,0.6542857885360718,5.757291823128159e-05,1.4044444444444444,1580,2025-12-12 10:49:46,1580,,,,,,,,,
0.8784,0.6702569723129272,5.662338423261927e-05,1.4222222222222223,1600,2025-12-12 10:50:58,1600,,,,,,,,,
0.8701,0.6532970070838928,5.567141240205069e-05,1.44,1620,2025-12-12 10:52:09,1620,,,,,,,,,
0.873,0.6615462899208069,5.471735312651114e-05,1.4577777777777778,1640,2025-12-12 10:53:21,1640,,,,,,,,,
0.892,0.6615703105926514,5.376155756125002e-05,1.4755555555555555,1660,2025-12-12 10:54:33,1660,,,,,,,,,
0.8633,0.6737284660339355,5.2804377500583234e-05,1.4933333333333334,1680,2025-12-12 10:55:44,1680,,,,,,,,,
0.8842,0.6907592415809631,5.1846165248410114e-05,1.511111111111111,1700,2025-12-12 10:56:56,1700,,,,,,,,,
0.8612,0.6676250100135803,5.088727348854294e-05,1.528888888888889,1720,2025-12-12 10:58:07,1720,,,,,,,,,
0.8884,0.6696411371231079,4.9928055154896547e-05,1.5466666666666666,1740,2025-12-12 10:59:19,1740,,,,,,,,,
0.899,0.654425859451294,4.896886330158601e-05,1.5644444444444443,1760,2025-12-12 11:00:30,1760,,,,,,,,,
0.8944,0.6732547879219055,4.8010050972979875e-05,1.5822222222222222,1780,2025-12-12 11:01:42,1780,,,,,,,,,
0.8873,0.643875002861023,4.7051971073757213e-05,1.6,1800,2025-12-12 11:02:54,1800,,,,,,,,,
0.8672,0.7091432809829712,4.609497623901585e-05,1.6177777777777778,1820,2025-12-12 11:04:05,1820,,,,,,,,,
0.904,0.6559125781059265,4.51394187044801e-05,1.6355555555555554,1840,2025-12-12 11:05:17,1840,,,,,,,,,
